city,state_name
New York,New York
Los Angeles,California
Chicago,Illinois
Miami,Florida
Dallas,Texas
Philadelphia,Pennsylvania
Houston,Texas
Atlanta,Georgia
Washington,District of Columbia
Boston,Massachusetts
Phoenix,Arizona
Seattle,Washington
San Francisco,California
Detroit,Michigan
San Diego,California
Minneapolis,Minnesota
Tampa,Florida
Denver,Colorado
Brooklyn,New York
Queens,New York
Riverside,California
Baltimore,Maryland
Las Vegas,Nevada
Portland,Oregon
San Antonio,Texas
St. Louis,Missouri
Sacramento,California
Orlando,Florida
San Jose,California
Cleveland,Ohio
Pittsburgh,Pennsylvania
Austin,Texas
Cincinnati,Ohio
Kansas City,Missouri
Manhattan,New York
Indianapolis,Indiana
Columbus,Ohio
Charlotte,North Carolina
Virginia Beach,Virginia
Bronx,New York
Milwaukee,Wisconsin
Providence,Rhode Island
Jacksonville,Florida
Salt Lake City,Utah
Nashville,Tennessee
Richmond,Virginia
Memphis,Tennessee
Raleigh,North Carolina
New Orleans,Louisiana
Louisville,Kentucky
Oklahoma City,Oklahoma
Bridgeport,Connecticut
Buffalo,New York
Fort Worth,Texas
Hartford,Connecticut
Tucson,Arizona
Omaha,Nebraska
El Paso,Texas
Honolulu,Hawaii
McAllen,Texas
Albuquerque,New Mexico
Birmingham,Alabama
Sarasota,Florida
Dayton,Ohio
Rochester,New York
Fresno,California
Allentown,Pennsylvania
Tulsa,Oklahoma
Cape Coral,Florida
Concord,California
Colorado Springs,Colorado
Charleston,South Carolina
Springfield,Massachusetts
Grand Rapids,Michigan
Mission Viejo,California
Albany,New York
Knoxville,Tennessee
Bakersfield,California
Ogden,Utah
Baton Rouge,Louisiana
Akron,Ohio
New Haven,Connecticut
Columbia,South Carolina
Mesa,Arizona
Palm Bay,Florida
Provo,Utah
Worcester,Massachusetts
Murrieta,California
Greenville,South Carolina
Wichita,Kansas
Toledo,Ohio
Staten Island,New York
Des Moines,Iowa
Long Beach,California
Port St. Lucie,Florida
Denton,Texas
Madison,Wisconsin
Reno,Nevada
Harrisburg,Pennsylvania
Little Rock,Arkansas
Oakland,California
Durham,North Carolina
Winston-Salem,North Carolina
Bonita Springs,Florida
Indio,California
Palm Coast,Florida
Chattanooga,Tennessee
Spokane,Washington
Syracuse,New York
Lancaster,Pennsylvania
Arlington,Texas
Stockton,California
Poughkeepsie,New York
Augusta,Georgia
Boise,Idaho
Oxnard,California
Scranton,Pennsylvania
Modesto,California
Kissimmee,Florida
Aurora,Colorado
Youngstown,Ohio
Fayetteville,Arkansas
Anaheim,California
Pensacola,Florida
Victorville,California
Lancaster,California
Greensboro,North Carolina
Corpus Christi,Texas
Fort Wayne,Indiana
Santa Ana,California
Flint,Michigan
Fayetteville,North Carolina
Jackson,Mississippi
Santa Rosa,California
Lansing,Michigan
San Juan,Puerto Rico
Lexington,Kentucky
Ann Arbor,Michigan
Henderson,Nevada
Huntsville,Alabama
Mobile,Alabama
Fort Collins,Colorado
Asheville,North Carolina
